,ID,P90
525,15067,36.73000000000006
526,33184,38.56000000000004
527,66003,31.31999999999998
528,66137,27.2
529,70002,21.0
530,76002,16.6
531,76042,17.140000000000008
532,9507,19.0
533,9742,40.1
534,70003,26.4
535,87009,14.5
536,87147,13.0
537,58003,38.55000000000005
538,41309,26.9
539,40204,34.0
540,9973,18.0
541,53007,31.2
542,53075,27.0
543,53002,28.4
544,53001,29.2
545,42000,32.18000000000002
546,39143,32.0
547,39004,32.92000000000002
548,9144,19.8
549,37002,36.92000000000002
550,8005,15.2
551,8301,16.379999999999995
552,36102,37.88000000000002
553,36007,32.0
554,36136,45.7
555,74094,19.6
556,74005,20.220000000000027
557,39149,34.63999999999996
558,39135,37.81999999999998
559,68193,24.78000000000001
560,75003,16.0
561,75002,18.53000000000001
562,39316,36.6
563,76003,13.2
564,88132,15.2
565,35216,31.6
566,88004,17.0
567,79002,15.6
568,37003,38.08000000000002
569,15145,34.120000000000005
570,85256,19.260000000000037
571,80000,16.5
572,75084,17.0
573,73000,21.3
574,24001,14.2
575,24005,14.240000000000009
576,34047,36.279999999999994
577,82000,20.6
578,40012,33.0
579,33087,41.0
580,7000,16.8
581,41491,28.0
582,10510,15.5
583,40393,39.4
584,40850,38.8
585,23372,14.6
586,54119,26.9
587,54003,25.4
588,54024,28.63000000000002
589,54021,35.6
590,54023,26.4
591,54102,24.4
592,54116,27.6
593,43058,32.11999999999998
594,10715,14.0
595,44204,30.42
596,44234,29.0
597,63008,23.4
598,90003,20.8
599,68217,28.460000000000036
600,9599,17.0
601,91153,22.700000000000003
602,61418,30.0
603,48004,27.84000000000001
604,31152,61.70000000000002
605,31163,30.5
606,15525,28.4
607,5058,35.660000000000004
608,5094,48.32000000000001
609,63002,22.9
610,31181,47.0
611,18112,18.65
612,89004,14.0
613,11034,23.0
614,13034,22.8
615,90004,14.6
616,90189,12.8
617,87010,14.7
618,87135,13.0
619,39345,37.0
620,57114,28.15999999999999
621,57051,31.5
622,57077,31.84000000000001
623,43067,27.2
624,86238,16.0
625,63003,21.1
626,27034,48.08000000000002
627,14233,41.0
628,14272,42.0
629,14138,45.24000000000001
630,69134,25.8
631,69052,31.569999999999983
632,69001,33.58000000000002
633,35183,41.280000000000015
634,10644,15.2
635,63306,25.3
636,63005,20.6
637,63291,20.0
638,63004,21.1
639,63287,20.0
640,72082,26.0
641,72004,33.0
642,14701,41.88
643,35007,33.0
644,67109,27.5
645,40013,31.2
646,42075,33.0
647,42036,30.0
648,88073,19.8
649,44168,28.7
650,86230,17.0
651,44207,34.4
652,26000,15.0
653,26050,14.2
654,10004,15.7
655,36066,35.6
656,91001,22.4
657,86029,18.5
658,86261,22.0
659,86004,17.5
660,3000,46.2
661,87011,15.2
662,81002,16.5
663,29170,50.0
664,64000,25.9
665,43090,26.28000000000002
666,41540,25.6
667,14086,41.370000000000026
668,41108,28.28000000000002
669,77002,16.3
670,40939,33.0
671,40014,30.5
672,40983,30.58000000000002
673,89005,15.2
674,10512,18.5
675,89082,12.8
676,89035,13.2
677,10710,13.2
678,9861,14.0
679,86146,15.2
680,92113,20.4
681,23114,14.2
682,10816,14.14000000000001
683,68247,37.0
684,12297,14.0
685,92105,18.4
686,91268,18.8
687,79003,15.6
688,74006,20.0
689,74261,19.0
690,2047,35.76000000000004
691,2072,34.0
692,9794,15.2
693,9239,25.4
694,50003,23.25999999999999
695,38000,26.639999999999986
696,35181,41.18000000000001
697,90005,14.0
698,41440,30.150000000000006
699,54135,30.0
700,7001,21.44999999999999
701,90006,25.7
702,44004,26.9
703,40844,32.0
704,40015,36.0
