,Unnamed: 0,ID,Location,Latitude,Longitude,Start_Month,Start_Year,End_Month,End_Year,Years,Percent,Code,State
10466,10466,91128,MONTAGU (MONTAGU ROAD),-40.7769,144.9585,Sep,1961,Jul,2016,54.8,0,N,TAS
10467,10467,38036,MONTAGU DOWNS,-22.9978,139.8853,May,2007,Dec,2007,0.3,37,N,QLD
10468,10468,91209,MONTAGU SWAMP (16 MILE CAMP),-40.9667,144.9,Oct,1951,Mar,1954,2.4,97,N,TAS
10469,10469,69017,MONTAGUE ISLAND LIGHTHOUSE,-36.2519,150.2275,Sep,1955,Jun,2024,67.8,98,Y,NSW
10470,10470,91159,MONTANA,-41.6,146.5667,May,1964,Jun,1981,13.4,78,N,TAS
10471,10471,91244,MONTANA (HUNTLEY),-41.5833,146.6,Jul,1984,Oct,1987,3.3,0,N,TAS
10472,10472,10895,MONTE VISTA,-33.3994,119.9344,Jan,1968,May,2024,55.8,99,N,WA
10473,10473,14807,MONTEJINNI,-16.6651,131.7644,Jan,1968,Jun,2024,49.0,87,N,NT
10474,10474,39330,MONTO AIRPORT,-24.8931,151.0997,Jul,1993,Mar,2005,11.8,0,N,QLD
10475,10475,39104,MONTO TOWNSHIP,-24.8642,151.1247,Jan,1930,Jun,2024,82.7,87,N,QLD
10476,10476,41071,MONTROSE,-28.75,151.6667,Mar,1919,Apr,1974,44.4,80,N,QLD
10477,10477,86076,MONTROSE,-37.8021,145.3679,Jan,1918,May,2024,92.0,86,N,VIC
10478,10478,33190,MONTROSE,-22.6333,149.5167,Jan,1973,Dec,1979,3.3,46,N,QLD
10479,10479,40134,MONTVILLE (CLOVELLY),-26.6982,152.9024,Jun,1910,Dec,2017,107.3,0,N,QLD
10480,10480,86290,MONTYS HUT,-37.6667,146.0667,Mar,1971,Jun,1976,5.1,95,N,VIC
10481,10481,50068,MOOBONG,-33.6,147.8,Nov,1885,Dec,1922,35.8,96,N,NSW
10482,10482,10760,MOODIARUP,-33.6,116.8,Jan,1915,Dec,1919,5.0,0,N,WA
10483,10483,43078,MOOGA,-26.25,148.95,Aug,1919,Jan,1950,30.5,0,N,QLD
10484,10484,43021,MOOGA HILLS,-26.2831,148.8997,Dec,1924,Nov,1995,70.0,99,N,QLD
10485,10485,43006,MOOGA HILLS TM,-26.2544,148.9453,Nov,2000,Jun,2024,19.3,82,N,QLD
10486,10486,95060,MOOGARA (UXBRIDGE BACK ROAD),-42.7889,146.9056,Nov,1990,Jun,2008,17.7,0,N,TAS
10487,10487,40135,MOOGERAH DAM,-28.0302,152.5529,Oct,1917,May,2024,99.6,93,N,QLD
10488,10488,6041,MOOGOOREE,-24.0633,115.205,Jun,1920,Dec,1974,52.2,96,N,WA
