,extreme_dates,scale
164,1964-01-10,0.0
165,1964-02-20,4.39262441602323
166,1964-02-29,4.4236775471361875
167,1964-03-07,329.01970895394055
168,1964-05-30,24.94221416328387
169,1964-06-29,0.0
170,1964-07-02,24.910700120177953
171,1964-09-11,21.986416271275893
172,1964-11-22,26.0574249582486
173,1964-12-05,23.8188975057275
174,1964-12-25,19.474131034094814
175,1965-07-19,27.585048040058272
176,1965-12-02,7.958135337436066
177,1965-12-04,26.423315889510132
178,1966-02-20,8.138317671196265
179,1966-03-19,25.058270364573406
180,1966-03-21,31.030396040494484
181,1966-04-26,32.144455006435486
182,1966-06-09,39.73373904578942
183,1966-08-19,28.763415587518544
184,1966-12-07,19.834760808694693
185,1967-01-16,10.95791480448731
186,1967-02-21,22.05321255781237
187,1967-03-17,36.01639288762036
